Keyword,Kanushree,Raphael,Zijing,Viktor,Adam,StdDev
iran,0,1,1,0,0.0,0.5477225575051662
christian,0,1,1,1,0.0,0.5477225575051662
iranian,0,1,1,0,0.0,0.5477225575051662
saudi,0,1,1,0,0.0,0.5477225575051662
islam,0,1,1,1,0.0,0.5477225575051662
secular,0,1,0,1,1.0,0.5477225575051662
apartheid,1,0,0,1,1.0,0.5477225575051662
druze,0,1,0,1,1.0,0.5477225575051662
golan,0,1,1,0,1.0,0.5477225575051662
isis,0,1,0,0,1.0,0.5477225575051662
isreal,0,0,1,1,1.0,0.5477225575051662
levant,0,1,0,1,1.0,0.5477225575051662
terrorists,0,1,0,1,1.0,0.5477225575051662
regime,1,1,0,1,0.0,0.5477225575051662
nations,0,1,0,1,0.0,0.5477225575051662
people,0,1,0,1,0.0,0.5477225575051662
hate,0,1,0,1,0.0,0.5477225575051662
islamophobia,0,1,0,1,1.0,0.5477225575051662
denial,0,1,0,1,0.0,0.5477225575051662
propaganda,1,1,0,1,0.0,0.5477225575051662
protest,1,1,0,1,0.0,0.5477225575051662
jordan,0,1,1,0,0.0,0.5477225575051662
displaying zionist,1,1,0,1,0.0,0.5477225575051662
palestine questions,1,0,0,1,0.0,0.5477225575051662
unrwa org,1,0,1,0,1.0,0.5477225575051662
donate unrwa,1,0,0,1,0.0,0.5477225575051662
genocide denial,1,1,0,1,0.0,0.5477225575051662
israel questions,1,0,0,1,0.0,0.5477225575051662
