Keyword,Raphael,Viktor,Zijing,Kanushree,Adam
climate,1,1,1,1,1
change,0,1,1,0,0
warming,1,1,1,1,1
science,1,1,1,0,0
nuclear,1,1,1,1,1
weather,1,1,1,1,1
environmental,1,1,1,1,1
scientists,1,1,1,0,0
scientific,1,1,0,0,0
1,0,0,0,0,0
rise,0,1,1,0,0
economic,0,1,0,0,0
ipcc,1,1,1,1,1
impacts,1,1,0,0,0
global,1,1,0,1,0
causes,1,1,0,0,0
collapse,0,0,1,0,0
noaa,1,0,1,1,1
deniers,1,1,1,0,0
anthropogenic,1,1,0,1,1
ecological,1,1,0,1,1
oil,1,1,1,0,1
temperature,1,1,1,1,1
denier,1,1,1,0,0
natural,1,1,1,0,1
geological,1,0,1,1,1
geoengineering,1,1,1,1,1
0,0,0,0,0,0
droughts,1,1,1,1,1
gas,1,1,1,0,1
alarmists,1,1,0,0,1
greenhouse,1,1,1,1,1
alarmist,1,1,0,0,1
coal,1,1,1,0,1
emissions,1,1,1,1,1
sustainable,1,1,1,1,1
climates,1,1,1,1,1
atmospheric,1,1,1,0,1
skeptics,1,1,1,0,0
recycling,1,1,1,1,1
underlying,0,1,0,0,0
renewable,1,1,1,1,1
co2,1,1,1,1,1
environment,1,1,1,1,1
pollution,1,1,1,1,1
oceans,1,1,1,0,1
arctic,1,1,1,0,1
agriculture,1,1,1,0,0
drought,1,1,1,1,1
glaciers,1,1,1,1,1
ecosystems,1,1,1,1,1
antarctic,1,1,1,0,1
biodiversity,1,1,1,1,1
wildfires,1,1,1,1,1
disasters,1,1,0,1,1
antarctica,1,1,1,0,1
habitat,1,1,0,0,1
hurricanes,1,1,1,0,1
humidity,1,1,1,0,1
rainfall,1,1,1,0,1
precipitation,1,1,1,0,1
deforestation,1,1,1,1,1
currents,1,1,0,0,0
overpopulation,1,0,0,0,1
volcanoes,1,1,1,0,1
deserts,1,1,1,0,1
extinctions,1,1,1,1,1
biosphere,1,1,1,1,1
temperate,0,1,1,1,1
acidification,1,1,1,1,1
ecology,1,1,1,1,1
environmentalists,1,1,1,1,1
manmade,1,1,1,0,1
erosion,1,1,0,1,1
arid,1,1,1,1,1
time,1,0,0,0,0
people,0,1,0,0,0
energy,1,1,0,1,1
carbon,1,1,1,1,1
atmosphere,1,1,1,0,1
earth,1,1,1,1,1
fuel,1,1,1,1,1
fossil,1,1,1,1,1
sustainability,1,1,1,1,1
china,0,0,0,0,0
power,0,1,0,0,1
heat,1,1,1,0,1
world,0,1,1,0,0
ocean,1,1,1,0,1
canada,0,0,0,0,0
ice,0,1,0,0,0
vegan,1,1,1,0,1
methane,1,1,1,0,1
nature,1,1,1,0,1
water,0,1,1,0,0
green,0,1,1,1,0
sea,1,1,1,0,0
snow,0,1,0,0,0
footprint,1,1,0,1,1
electricity,1,1,1,0,0
winter,1,1,1,0,0
age,0,0,0,0,0
california,0,0,0,0,0
solar,1,1,1,0,1
hydrogen,1,1,1,0,1
wikipedia,0,0,0,0,0
el,0,0,0,0,0
mass,0,0,0,0,0
climate change,1,1,1,1,1
just,0,0,0,0,0
lol,0,0,0,0,0
like,0,0,1,0,0
fossil fuels,1,1,1,1,1
yes,0,0,0,0,0
years,0,0,0,0,0
don,0,0,0,0,0
think,0,0,0,0,0
co2 levels,1,1,1,1,1
know,0,0,0,0,0
co2 emissions,1,1,1,1,1
humans,1,1,0,0,0
good,0,0,0,0,0
article,0,0,0,0,0
right,0,0,0,0,0
going,0,0,0,0,0
thank,0,0,0,0,0
global warming,1,1,1,1,1
carbon footprint,1,1,1,1,1
thanks,0,0,0,0,0
co2 atmosphere,1,1,1,1,1
population,1,1,0,0,0
planet,1,1,1,0,1
plastic,1,1,1,0,1
year,0,0,0,0,0
yeah,0,0,0,0,0
solar panels,1,1,1,1,1
really,0,0,0,0,0
agree,0,0,0,0,0
ice age,0,1,1,1,1
stop,0,0,0,0,0
